HSCode,Country,Y1920P
5010010,Afghanistan,0
7031010,Afghanistan,22426.06
7032000,Afghanistan,0
7132010,Afghanistan,20.71
7133110,Afghanistan,0
7133190,Afghanistan,0
7133300,Afghanistan,582.69
7133990,Afghanistan,4948.81
8021100,Afghanistan,6112.84
8021200,Afghanistan,12930.41
8023100,Afghanistan,1490.61
8023200,Afghanistan,2725.19
8025100,Afghanistan,122.77
8025200,Afghanistan,18442.32
8028090,Afghanistan,0
8029000,Afghanistan,374.2
8041020,Afghanistan,0
8041030,Afghanistan,30.98
8042090,Afghanistan,75367.26
8061000,Afghanistan,673.98
8062010,Afghanistan,76729.17
8062090,Afghanistan,2.04
8071100,Afghanistan,0
8071900,Afghanistan,88.9
8081000,Afghanistan,3689.62
8083000,Afghanistan,0
8091000,Afghanistan,208.02
8092100,Afghanistan,4.31
8092900,Afghanistan,17.98
8093000,Afghanistan,3.45
8094000,Afghanistan,1.89
8102000,Afghanistan,0
8105000,Afghanistan,34.89
8109010,Afghanistan,270.95
8112090,Afghanistan,2.1
8119090,Afghanistan,0
8121000,Afghanistan,1.02
8131000,Afghanistan,11252.52
8132000,Afghanistan,83.56
8134090,Afghanistan,1332.86
9041110,Afghanistan,0
9093129,Afghanistan,1.57
9096139,Afghanistan,15779.68
9102010,Afghanistan,599.64
9102020,Afghanistan,0
9102090,Afghanistan,13551.39
12077090,Afghanistan,2427.58
12099910,Afghanistan,0
12119029,Afghanistan,280.83
12119049,Afghanistan,5603.97
12119092,Afghanistan,1481.68
12119093,Afghanistan,9.45
12119099,Afghanistan,164.57
13012000,Afghanistan,2.32
13019013,Afghanistan,92541.76
13019019,Afghanistan,104.33
13021919,Afghanistan,0
13021990,Afghanistan,30.45
20031000,Afghanistan,2.17
20081920,Afghanistan,555.68
20096100,Afghanistan,1
20097100,Afghanistan,1
20097900,Afghanistan,0
20098990,Afghanistan,2.06
25010020,Afghanistan,3.28
25151210,Afghanistan,10.65
25261010,Afghanistan,14.1
25261090,Afghanistan,0
27149090,Afghanistan,0
28363000,Afghanistan,72.44
30039012,Afghanistan,20.75
30049012,Afghanistan,28.58
30049014,Afghanistan,0.62
33029090,Afghanistan,0.02
38249990,Afghanistan,1.59
39269099,Afghanistan,0.05
41022110,Afghanistan,0
46019900,Afghanistan,0.29
51011900,Afghanistan,69.27
51012900,Afghanistan,88.44
51061090,Afghanistan,13.76
51071040,Afghanistan,0
51071090,Afghanistan,84.67
51072090,Afghanistan,2.31
51091090,Afghanistan,0
52010020,Afghanistan,0
54071019,Afghanistan,32.64
57019090,Afghanistan,0
57021000,Afghanistan,0
57023110,Afghanistan,0
58071090,Afghanistan,0.22
61042200,Afghanistan,0.74
61171090,Afghanistan,5.48
62149090,Afghanistan,0.44
68029100,Afghanistan,0
68042390,Afghanistan,2.82
71031011,Afghanistan,64.24
71031012,Afghanistan,3.13
71031029,Afghanistan,1.59
71069290,Afghanistan,0
71171990,Afghanistan,0
72042190,Afghanistan,0
72193590,Afghanistan,35.08
73239190,Afghanistan,0.07
74031100,Afghanistan,0
81019990,Afghanistan,0
82159900,Afghanistan,0.01
83089099,Afghanistan,0.05
84186910,Afghanistan,0
85044040,Afghanistan,0
85176290,Afghanistan,1.44
85255090,Afghanistan,0
85372000,Afghanistan,0
85389000,Afghanistan,0
85437099,Afghanistan,0
85462090,Afghanistan,0
85469010,Afghanistan,0
88024000,Afghanistan,2880
90185090,Afghanistan,2.63
90279090,Afghanistan,0
90318000,Afghanistan,0
94035090,Afghanistan,0.69
94036000,Afghanistan,4.67
96031000,Afghanistan,0
98049000,Afghanistan,0.83
99930010,Afghanistan,0
99930090,Afghanistan,0
12119029,Albania,19.77
12119039,Albania,0
12119094,Albania,0.47
12119099,Albania,10.03
18069010,Albania,0
18069020,Albania,51.95
19053211,Albania,1.06
25151210,Albania,370.9
25152010,Albania,0
26020060,Albania,0
33012990,Albania,5.89
39173990,Albania,0
39259090,Albania,15
39269099,Albania,0
40093100,Albania,0
40093200,Albania,0
40161000,Albania,0
41062100,Albania,0
48043900,Albania,3.69
48239090,Albania,0
64062000,Albania,66.78
70099200,Albania,0
72024100,Albania,593.04
72024900,Albania,540.81
72026000,Albania,31434.86
72042190,Albania,174.2
73144190,Albania,50.37
73261990,Albania,0
73269099,Albania,0
76020010,Albania,149.6
79020010,Albania,38.44
83016000,Albania,0
83024900,Albania,0
84099949,Albania,0
84145990,Albania,0
84212900,Albania,0
84213920,Albania,0
84219900,Albania,0
84314930,Albania,4.94
84314990,Albania,0
84431990,Albania,0
84812000,Albania,0
84834000,Albania,0
84835090,Albania,0
84839000,Albania,0
84879000,Albania,0
85129000,Albania,0
85318000,Albania,0
85365090,Albania,0
85366990,Albania,0
85371000,Albania,0
87085000,Albania,0
87089400,Albania,6.7
87089900,Albania,0
90261020,Albania,0
94012000,Albania,0
99930090,Albania,0
7132010,Algeria,77.71
7134000,Algeria,7.24
8041020,Algeria,1905.06
12024210,Algeria,0
12119049,Algeria,3.19
13021990,Algeria,0.09
25101010,Algeria,7645.93
25101090,Algeria,0.24
25102010,Algeria,4571.28
25151210,Algeria,54.73
26201900,Algeria,172.56
27090000,Algeria,1130629.93
27101950,Algeria,168491.88
27101960,Algeria,1250.94
27101990,Algeria,112.36
27109900,Algeria,0
27111100,Algeria,37504.8
27111200,Algeria,6538.54
27111300,Algeria,6758.68
27111900,Algeria,0
29051100,Algeria,3275.87
29225090,Algeria,536.75
29335990,Algeria,0
29419020,Algeria,0
30049099,Algeria,0.02
31021000,Algeria,37832.39
34039900,Algeria,0.28
38140010,Algeria,15.93
38220090,Algeria,0
38249990,Algeria,0.08
39232990,Algeria,27.43
39235090,Algeria,0.02
39241090,Algeria,0.12
39269099,Algeria,0
40169320,Algeria,0
40169390,Algeria,0
40169990,Algeria,0
41041900,Algeria,134.22
41044900,Algeria,0
41051000,Algeria,58.13
41071100,Algeria,0
45011000,Algeria,127.59
45019000,Algeria,277.63
45031000,Algeria,0
45041090,Algeria,66.62
45049000,Algeria,0
47071000,Algeria,204.4
47079000,Algeria,2457
48191010,Algeria,0.3
49011020,Algeria,0.32
51011900,Algeria,1171.38
51012900,Algeria,91.86
51032090,Algeria,0
55092200,Algeria,15.58
72071290,Algeria,0
72299032,Algeria,14.36
73158200,Algeria,1.86
73182990,Algeria,0
73209090,Algeria,0
78019920,Algeria,0
82041120,Algeria,0.91
84139190,Algeria,0
84195090,Algeria,9.16
84198990,Algeria,2.61
84212190,Algeria,5.09
84304900,Algeria,0
84306900,Algeria,0
84314390,Algeria,0
84329090,Algeria,0.01
84339000,Algeria,0.38
84389090,Algeria,0.94
84798970,Algeria,80.93
84798999,Algeria,0.9
84828000,Algeria,0
84829130,Algeria,0
84834000,Algeria,0.34
84835010,Algeria,0.47
84835090,Algeria,0.17
85446090,Algeria,0
86090000,Algeria,0
87149990,Algeria,0.16
87169010,Algeria,0
90158090,Algeria,3.82
90159000,Algeria,3.42
90230090,Algeria,0.68
90262000,Algeria,19.48
90309010,Algeria,37.69
98049000,Algeria,0
99930010,Algeria,0.02
99930020,Algeria,16.87
99930090,Algeria,0.03
23012011,Ameri Samoa,2175.64
39269099,Ameri Samoa,0
48149000,Ameri Samoa,0
59070099,Ameri Samoa,0
76072090,Ameri Samoa,0
83014090,Ameri Samoa,0.58
84389090,Ameri Samoa,19.63
39032000,Andorra,0
39269099,Andorra,0
73182990,Andorra,0
84229090,Andorra,0
84829900,Andorra,0
85167990,Andorra,0
90308990,Andorra,14.72
90309090,Andorra,9.33
90318000,Andorra,0
22083092,Angola,0.04
25151100,Angola,0
25161100,Angola,605.72
25161200,Angola,165.07
25169090,Angola,25.29
26020090,Angola,0
27090000,Angola,1866773.88
27101950,Angola,0
27101990,Angola,8.99
27109900,Angola,33.53
27111100,Angola,702399.15
27111200,Angola,0
27111300,Angola,0
27111900,Angola,0
28332990,Angola,0.1
29151100,Angola,0.55
29199090,Angola,0.69
29349900,Angola,0.37
30049057,Angola,155.6
34013019,Angola,0.04
39076990,Angola,50.92
39079990,Angola,0
39269099,Angola,0.83
40169310,Angola,10.91
40169320,Angola,0
40169390,Angola,9.56
40169990,Angola,0
44039990,Angola,0
44072990,Angola,6.63
44079990,Angola,62.47
47071000,Angola,0
47079000,Angola,37.04
68022390,Angola,6.8
71023100,Angola,4291.38
72042190,Angola,544.61
72044900,Angola,26.07
73049000,Angola,18.31
73069090,Angola,6.89
73072900,Angola,88.43
73181500,Angola,0.18
73181900,Angola,0
73182100,Angola,0
73182400,Angola,0.07
73182990,Angola,2.87
73209090,Angola,0
73269080,Angola,0.86
73269099,Angola,75.24
74040022,Angola,978.69
74081190,Angola,0
74122090,Angola,0.1
75072000,Angola,1.74
75089090,Angola,10.41
76011010,Angola,141.28
76012010,Angola,0
76020010,Angola,1658.02
78019920,Angola,133.2
78019990,Angola,205.61
78020010,Angola,25.12
79020010,Angola,0
82042000,Angola,0.17
82057000,Angola,14.69
82060090,Angola,0.6
82089090,Angola,0
83014090,Angola,0.03
84129090,Angola,349.06
84134000,Angola,1.72
84139190,Angola,1.07
84212900,Angola,0
84304120,Angola,0
84304190,Angola,8.13
84304900,Angola,0
84313990,Angola,0
84314310,Angola,312.88
84314390,Angola,283.72
84314990,Angola,1.37
84713090,Angola,1.06
84718000,Angola,0.2
84779000,Angola,0.8
84798950,Angola,252.57
84798999,Angola,497.7
84799090,Angola,442.31
84812000,Angola,0.93
84813000,Angola,1.33
84814000,Angola,0
84818090,Angola,289.41
84819090,Angola,230.93
84835090,Angola,14.7
84849000,Angola,0
85016100,Angola,163.28
85045090,Angola,0
85365090,Angola,0
85389000,Angola,1.54
85444999,Angola,0
85481020,Angola,1328.99
86090000,Angola,20.77
87089900,Angola,0.82
90158090,Angola,0
90229090,Angola,12.07
